; ;Nuovo ID;hallow_back;rilegatura_moderna;Colonna1;Collocazione;roman_converted;disambiguatore;numero_del_codice;numerazione_araba;numerazione_romana_alternativa;ulteriore_numerazione_arabaoromana;identificativo_parte;Spagnolo;note;titolo;materiale;datazione_i;datazione_f;lingua;fogli;altezza;ampiezza;rilegatura;tipo_rilegatura;materiale_rilegatura;preferred_manifest_url;color;color_rileg;is_digitized;marker_dim;alpha
88;89;m0080_0;0.0;0.0;0;[III A 2];80;_0;LXXX;431;0;0;0;141-146;0;Homiliae plurimorum S.S. Patrum;membranaceo;1100.0;1300.0;0;250.0;480.0;332.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;5.7884937547461774;0.5
89;90;m0081_0;0.0;0.0;0;[A E 1];81;_0;LXXXI;432;0;0;0;146-148;0;Homiliarius capituli Ecclesiae veronesis;membranaceo;1350.0;1400.0;0;150.0;545.0;400.0;rilegato;assi coperte di pelle e custodia e brocconi di metallo;0;/;blue;#2B9332;Non digitalizzato;5.279707777298865;0.5
90;91;m0081_1;0.0;0.0;0;[VII 1 2];81;_1;LXXXI;2;0;0;0;148-149;Dimensioni varie;Miscellanea sacrorum fragmentorum;membranaceo;900.0;1300.0;0;22.0;0.0;0.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;3.3893215871819615;0.5
91;92;m0082_0;0.0;0.0;0;[VII 1 3];82;_0;LXXXII;77;0;0;0;149-151;0;Evengelia et Epistola per annum;membranaceo;800.0;1000.0;0;276.0;280.0;190.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.887145155958566;0.5
92;93;m0083_0;0.0;0.0;0;[VII 1 4];83;_0;LXXXIII;78;0;0;0;151;Iniziali in bianco;Zachariae Chrisopolitani Comment. in quatuor Evangelia;membranaceo;1200.0;1300.0;0;112.0;370.0;270.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.9892981567081245;0.5
93;94;m0084_0;0.0;0.0;0;[VII 1 5];84;_0;LXXXIV;79;0;0;0;151-152;0;De diviniis officis et Missis per annum et De passionibus sanctorum;membranaceo;1200.0;1400.0;0;132.0;310.0;210.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.152568789984922;0.5
94;95;m0085_0;0.0;0.0;0;[VII 1 6];85;_0;LXXXV;80;0;0;0;152-153;0;Sacramentarium veronense seu Leonianum;membranaceo;600.0;650.0;0;139.0;235.0;172.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.203949451006609;0.5
95;96;m0086_0;0.0;0.0;0;[VII 1 7];86;_0;LXXXVI;81;0;0;0;153-156;189 c. prima del restauro;Sacramentarium gelasiano-gregorianum;membranaceo;800.0;900.0;0;198.0;295.0;193.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.556103861305786;0.5
96;97;m0087_0;0.0;0.0;0;[IV 1 2];87;_0;LXXXVII;82;0;0;0;157-160;0;Missale ac Sacramentarium gregorianum cum addit. ad usum Eccl. cathed. Veron.;membranaceo;975.0;1000.0;0;339.0;340.0;270.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;6.092228577594771;0.5
97;98;m0088_0;0.0;0.0;0;[VII 1 8];88;_0;LXXXVIII;83;0;0;0;161-162;0;Piae precationis, Lectiones breves, Himni, Antiphonae et alia;membranaceo;800.0;1000.0;0;80.0;145.0;115.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.655546393313158;0.5
98;99;m0089_0;0.0;0.0;0;[VII 1 9];89;_0;LXXXIX;84;0;0;0;162-163;0;Breviarium mozarabicum cum aliquibus missis;membranaceo;600.0;900.0;0;127.0;330.0;260.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.1141816651884735;0.5
99;100;m0090_0;0.0;0.0;0;[VII 1 10];90;_0;XC;85;0;0;0;163-167;0;Orationes, Sermones SS. Patrum, Hymni, Rytmi historici, Martirolog. Bedae etc.;membranaceo;850.0;1000.0;0;141.0;150.0;118.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;5.218157464507509;0.5
100;101;m0091_0;0.0;0.0;0;[VII 1 11];91;_0;XCI;86;0;0;0;167-168;0;Sacramentarium gregorianum;membranaceo;800.0;1000.0;0;165.0;260.0;170.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.374554766289246;0.5
101;102;m0092_0;0.0;0.0;0;[VII 1 12];92;_0;XCII;87;0;0;0;169-170;0;Ordo librorum catholicorum. Processiones ad ecclesiam et alia plura;membranaceo;700.0;900.0;0;71.0;183.0;120.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.537404240091448;0.5
102;103;m0093_0;0.0;0.0;0;[VII 1 13];93;_0;XCIII;88;0;0;0;170;0;S. Bernardi ab. Sermones sup. Cant. canticorum;membranaceo;700.0;900.0;0;237.0;290.0;220.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.735260954173303;0.5
103;104;m0094_0;0.0;0.0;0;[VII 1 14];94;_0;XCIV;89;0;0;0;170-172;Forse una carta aggiunta 53a;Stephani sacerdotis cantoris veronensis Ecclesiae Carpsum sive Ordo veron. Eccl.;membranaceo;1000.0;1100.0;0;97.0;230.0;170.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.846562870970164;0.5
104;105;m0095_0;0.0;0.0;0;[VIII 1 1];95;_0;XCV;90;0;0;0;173-174;0;Passiones seu vitae sanctorum;membranaceo;800.0;1000.0;0;273.0;307.0;205.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.876246578228171;0.5
105;106;m0096_0;0.0;0.0;0;[VIII 1 2];96;_0;XCVI;90*;0;0;0;174-176;0;Vitae seu passiones sanctorum;membranaceo;1100.0;1200.0;0;327.0;370.0;260.0;rilegato;assi;0;/;blue;#2B9332;Non digitalizzato;6.056271586878698;0.5
106;107;m0097_0;0.0;0.0;0;[VIII 1 3];97;_0;XCVII;91;0;0;0;176-178;0;Sacramentarium cum kalend. praefat. et aliis;membranaceo;900.0;1100.0;0;229.0;270.0;200.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.701035650029663;0.5
107;108;m0098_0;0.0;0.0;0;[VIII 1 4];98;_0;XCVIII;92;0;0;0;179-180;0;Antifonae et responsoria per anni circulum sub notis musicis;membranaceo;1000.0;1100.0;0;267.0;290.0;190.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.8540864797934535;0.5
108;109;m0099_0;0.0;0.0;0;[VIII 1 5];99;_0;XCIX;93;0;0;0;180-181;0;Missale secundum consuetudinem romanae curiae;membranaceo;1350.0;1400.0;0;272.0;400.0;270.0;rilegato;assi;0;/;blue;#2B9332;Non digitalizzato;5.872587162870563;0.5
109;110;m0100_0;0.0;0.0;0;[VIII 1 6];100;_0;C;94;0;0;0;181;0;Missale secund. consuetud. romanae curiae;membranaceo;1350.0;1400.0;0;263.0;375.0;270.0;rilegato;assi;0;/;blue;#2B9332;Non digitalizzato;5.839035474741556;0.5
110;111;m0101_0;0.0;0.0;0;[VIII 1 7];101;_0;CI;95;0;0;0;182;0;Evangelia Marci, Lucae et Iohannis in dom. e festis per annum;membranaceo;800.0;1100.0;0;238.0;335.0;270.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.739457915023577;0.5
111;112;m0102_0;0.0;0.0;0;[VIII 1 8];102;_0;CII;96;0;0;0;183-184;0;Missale secundum consuetudinem romanae curiae;membranaceo;1350.0;1400.0;0;247.0;395.0;260.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.776458370290361;0.5
112;113;m0103_0;0.0;0.0;0;[VIII 1 9];103;_0;CIII;96;0;0;0;184-186;0;Preces, Antifonae, Responsoria, Lectiones per annum, Kalendarium, Oratione, Hymni etc.;membranaceo;1100.0;1300.0;0;170.0;250.0;165.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.404271456006074;0.5
113;114;m0104_0;0.0;0.0;0;[VIII 1 10];104;_0;CIV;97;0;0;0;186;0;Evangelia et Orationes, Ordo etc.;membranaceo;1100.0;1200.0;0;32.0;280.0;188.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;3.7534179752515073;0.5
114;115;m0105_0;0.0;0.0;0;[VIII 1 11];105;_0;CV;98;0;0;0;187-189;0;Missale cum notis musicis;membranaceo;1000.0;1100.0;0;395.0;370.0;260.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;6.2447937268208875;0.5
115;116;m0106_0;0.0;0.0;0;[VIII 1 12];106;_0;CVI;99;0;0;0;189-190;0;Martirologium, Orationes et Ordo;membranaceo;800.0;1000.0;0;64.0;236.0;155.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.43477720005941;0.5
116;117;m0107_0;0.0;0.0;0;[I 2 1];107;_0;CVII;100;0;0;0;191-193;0;Antiphonae, Responsoria et Hymni com notis musicis;membranaceo;975.0;1000.0;0;125.0;187.0;123.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.098404485723678;0.5
117;118;m0108_0;0.0;1.0;0;[I 2 2];108;_0;CVIII;101;0;0;0;194-195;0;Psalterium com Canticis, Antiphonis, et Hymnis cum notis musicis;membranaceo;1100.0;1200.0;0;230.0;303.0;212.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;5.7053784226756195;0.5
118;119;m0109_0;0.0;0.0;0;[I 2 3];109;_0;CIX;12;0;0;0;196-199;0;Hymni et Capitula cum notis musicis;membranaceo;1000.0;1000.0;0;190.0;220.0;145.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.515023575898241;0.5
119;120;m0110_0;0.0;0.0;0;[I 2 4];110;_0;CX;103;0;0;0;199-202;0;Sacramentarium veronense;membranaceo;1050.0;1100.0;0;236.0;370.0;235.0;rilegato;assi ricoperte di pelle, impressa con placche di metallo impresse;0;/;blue;#2B9332;Non digitalizzato;5.731046304577605;0.5
120;121;m0111_0;0.0;1.0;0;[I 2 5];111;_0;CXI;104;0;0;0;202;cc. 91v-92 r rescritti;Expositiones in sacra Scripturas;membranaceo;1200.0;1400.0;0;94.0;210.0;158.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;4.815397345369075;0.5
121;122;m0112_0;0.0;0.0;0;[I 2 6];112;_0;CXII;105;0;0;0;203-204;0;Vita S. Zenonis ep. ve., Sulpicii Severi, Vita S. Martini, Dialogi et alia;cartaceo;1400.0;1500.0;0;72.0;297.0;205.0;rilegato;pelle;0;/;orange;#2B9332;Non digitalizzato;4.5512418439625355;0.5
122;123;m0113_0;0.0;0.0;0;[I 2 7];113;_0;CXIII;214;0;0;0;204-206;0;Vita sanctorum, Homiliae et Epistulae SS. Patrum et alia;cartaceo;1500.0;1500.0;0;189.0;0.0;0.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;5.5097678192712;0.5
123;124;m0114_0;0.0;0.0;0;[I 2 8];114;_0;CXIV;106;0;0;0;207;0;Ratherii epi. veron. Opera varia;cartaceo;1700.0;1800.0;0;189.0;336.0;210.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.5097678192712;0.5
124;125;m0115_0;0.0;0.0;0;[I 2 9];115;_0;CXV;106A;0;0;0;208;0;B. Pauli apostoli Epistulae cum glossis;membranaceo;1100.0;1200.0;0;154.0;260.0;170.0;rilegato;assi coperte di pelle impressa;0;/;blue;#2B9332;Non digitalizzato;5.305892767274656;0.5
125;126;m0116_0;0.0;1.0;0;[I 2 10];116;_0;CXVI;106B;0;0;0;208;0;S. Iohannis Evangelium cum glossis;membranaceo;1100.0;1300.0;0;96.0;260.0;170.0;rilegato;assi;0;/;blue;#2B9332;Non digitalizzato;4.836281906951478;0.5
126;127;m0117_0;0.0;0.0;0;[I 2 11];117;_0;CXVII;107;0;0;0;209;0;Κατάλογος etc. Catalogus grecor. scriptor.;cartaceo;1500.0;1600.0;greco;109.0;290.0;128.0;rilegato;pergamena;pergamena;/;orange;#2B9332;Non digitalizzato;4.962334593453339;0.5
127;128;m0118_0;0.0;0.0;0;[I 2 12];118;_0;CXVIII;108;0;0;0;209-210;0;῍Ενθεσις τοῦ Ψαλτής Expositio Psalteriis et Cant. cantic. ex autoribus graecis;membranaceo;1100.0;1200.0;greco;216.0;305.0;220.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;5.642793203029772;0.5
128;129;m0119_0;0.0;0.0;0;[I 2 13];119;_0;CXIX;109;0;0;0;210;0;Κυρίλλου Αλεξανδ. etc. Cyrilli Arch. Alexandr. in Psalmos fragmenta;membranaceo;600.0;900.0;greco;1.0;144.0;85.0;raccolte di fogli;0;0;/;blue;#888483;Non digitalizzato;0.8338145100499165;0.15
129;130;m0120_0;0.0;0.0;0;[I 2 14];120;_0;CXX;110;0;0;0;211;0;Στιχηράριον etc. Sticherarium versiculi antiph. et Tractus etc. cum notis musicis;membranaceo;800.0;1000.0;greco;111.0;205.0;140.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.98039084018265;0.5
130;131;m0121_0;0.0;0.0;0;[I 2 15];121;_0;CXXI;110;0;0;0;211;0;Λέοντος Βασιλέως Leonis Sapientis Homiliae;bombacino;1300.0;1500.0;greco;459.0;210.0;145.0;rilegato;pelle con impressioni e due fermagli;0;/;violet;#2B9332;Non digitalizzato;6.394687560265375;0.5
131;132;m0122_0;0.0;0.0;0;[I 2 16];122;_0;CXXII;111;0;0;0;212;0;Νιχεφόρου τοῦ Βλεμμίδου etc. Nicephori Blemmidae Commentarium in Psalmos et in Cantic;membranaceo;1100.0;1300.0;greco;290.0;198.0;140.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.936491244173371;0.5
132;133;m0123_0;0.0;0.0;0;[I 2 17];123;_0;CXXIII;112;0;0;0;213;0;Νιχεφόρου etc. idem opus;cartaceo;1700.0;1800.0;greco;137.0;195.0;145.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;5.189536656837063;0.5
133;134;m0124_0;0.0;0.0;0;[II 2 1];124;_0;CXXIV;113;0;0;0;213;0;Νιχεφόρου etc. idem opus;cartaceo;1700.0;1800.0;greco;163.0;340.0;220.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;5.362416337972785;0.5
134;135;m0125_0;0.0;0.0;0;[II 2 2];125;_0;CXXV;114;0;0;0;213;0;Ξιφιλὶνου Κατάσχωσις etc. Xiphilini Explicatio evangeliorum domenicalium;bombacino;1300.0;1400.0;greco;379.0;300.0;214.0;rilegato;0;0;/;violet;#2B9332;Non digitalizzato;6.203526085792024;0.5
135;136;m0126_0;0.0;0.0;0;[II 2 3];126;_0;CXXVI;0;0;0;0;214;0;Πινδάρου etc. Pindarus cum scholiis antiquis grec. Roma 1515;cartaceo;1500.0;1600.0;greco;244.0;232.0;169.0;rilegato;legatura antica in pelle;0;/;orange;#2B9332;Non digitalizzato;5.7642763689739205;0.5
136;137;m0127_0;0.0;0.0;0;[II 2 4];127;_0;CXXVII;116;0;0;0;215;0;Κωνσταντίνου etc. Constantini imperatoris Liber tacticus;cartaceo;1575.0;1600.0;greco;136.0;280.0;196.0;rilegato;legato in pergamena;0;/;orange;#2B9332;Non digitalizzato;5.182251605531147;0.5
137;138;m0128_0;0.0;0.0;0;[II 2 5];128;_0;CXXVIII;117;0;0;0;215;0;Ασχληπίοθ απὸ φονῆς Αμμονίου etc. Asclepii Tralliani ex Ore ammonii scholia in maius alpha libri Aristotelis post phisica;cartaceo;1500.0;1600.0;greco;295.0;340.0;230.0;rilegato;legatura antica con assi coperte di pelle impressa;0;/;orange;#2B9332;Non digitalizzato;5.95354090905564;0.5
138;139;m0129_0;0.0;0.0;0;[II 2 6];129;_0;CXXIX;118;0;0;0;216;0;Τὰ προλεγόμενα τῆς φιλοσοφίας  Philosophiae prolegomena ex ore David piissime ac divini philosophi, eiusdem comment. in introduct. Porphyrii et alia;cartaceo;1500.0;1500.0;greco;354.0;338.0;240.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;6.1354296005451054;0.5
139;140;m0130_0;0.0;0.0;0;[II 2 7];130;_0;CXXX;119;0;0;0;217;0;Βασιλιου etc. Basilii Epistola prima canonica et alia;cartaceo;1475.0;1500.0;greco;48.0;235.0;165.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;4.151039905898646;0.5
140;141;m0131_0;0.0;0.0;0;[II 2 8];131;_0;CXXXI;120;0;0;0;217;0;Ὰριστοφάνους etc. Aristophanis Comoediae;cartaceo;1400.0;1500.0;greco;131.0;230.0;162.0;rilegato;legatura in bulgaro con lo stemma dei duchi di modena;0;/;orange;#2B9332;Non digitalizzato;5.14500834631484;0.5
141;142;m0132_0;0.0;0.0;0;[II 2 9];132;_0;CXXXII;121;0;0;0;218;0;Ὲπιστολαὶ διαφόρων Epistolae diversorum;cartaceo;1500.0;1700.0;greco;316.0;210.0;155.0;rilegato;pergamena;0;/;orange;#2B9332;Non digitalizzato;6.022135190571862;0.5
142;143;m0133_0;0.0;0.0;0;[II 2 10];133;_0;CXXXIII;122;0;0;0;218;0;Miscellanea graeca;membranaceo e cartaceo;1200.0;1800.0;greco;55.0;305.0;210.0;rilegato;cartoncino;0;/;gray;#2B9332;Non digitalizzato;4.285165774018562;0.5
143;144;m0134_0;0.0;1.0;0;[II 2 11];134;_0;CXXXIV;0;0;0;0;219;0;Παραχλητιχή etc. Liber ecclesiasticus graecorum;membranaceo;1200.0;1300.0;greco;78.0;280.0;220.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.6304723688503096;0.5
144;145;m0135_0;0.0;0.0;0;[II 2 12];135;_0;CXXXV;123;0;0;0;220;0;Titi Livii patav. Decades, L. Flori Epitomes;membranaceo;1400.0;1500.0;0;194.0;330.0;233.0;rilegato;assi coperte da pelli con impressioni in oro e stemma gentilizio;0;/;blue;#2B9332;Non digitalizzato;5.535774652501705;0.5
145;146;m0136_0;0.0;0.0;0;[II 2 13];136;_0;CXXXVI;124;0;0;0;220;0;Titi Livii patav. Decades, L. Flori Epitomes;membranaceo;1400.0;1500.0;0;214.0;352.0;245.0;rilegato;assi coperte da pelli con impressioni in oro e stemma gentilizio;0;/;blue;#2B9332;Non digitalizzato;5.633523921579745;0.5
146;147;m0137_0;0.0;0.0;0;[II 2 14];137;_0;CXXXVII;125;0;0;0;220;0;Titi Livii patav. Decades, L. Flori Epitomes;membranaceo;1400.0;1500.0;0;208.0;360.0;250.0;rilegato;assi coperte da pelli con impressioni in oro e stemma gentilizio;0;/;blue;#2B9332;Non digitalizzato;5.605189133392959;0.5
147;148;m0138_0;0.0;0.0;0;[II 2 15];138;_0;CXXXVIII;126;0;0;0;221;0;Plautus M. Accius: Comoediae;membranaceo;1400.0;1500.0;0;107.0;300.0;213.0;rilegato;assi ricoperte di pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;4.943946314230732;0.5
148;149;m0139_0;0.0;0.0;0;[II 2 16];139;_0;CXXXIX;127;0;0;0;221-222;0;Plauti M. Accii Comoediae;membranaceo;1400.0;1500.0;0;112.0;250.0;172.0;rilegato;assi ricoperte di pelle;0;/;blue;#2B9332;Non digitalizzato;4.9892981567081245;0.5
149;150;m0140_0;0.0;0.0;0;[II 2 17];140;_0;CXL;128;0;0;0;222;0;Plautus M. Accius: Comoediae;cartaceo;1400.0;1500.0;0;141.0;305.0;210.0;rilegato;mezza pelle;0;/;orange;#2B9332;Non digitalizzato;5.218157464507509;0.5
150;151;m0141_0;0.0;0.0;0;[II 2 18];141;_0;CXLI;129;0;0;0;222;0;P. Valerius Maximus: Dictorum factorumque memorabilium;membranaceo;1300.0;1400.0;0;154.0;275.0;193.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;5.305892767274656;0.5
151;152;m0142_0;0.0;0.0;0;[III 2 1];142;_0;CXLII;130;0;0;0;223;0;Iustini Hectoris de Fontanellis Trogi Pompei Histor. epitomen;membranaceo;1400.0;1500.0;0;97.0;270.0;175.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.846562870970164;0.5
152;153;m0143_0;0.0;0.0;0;[III 2 2];143;_0;CXLIII;131;0;0;0;223;0;P. Terentius Afric.: Comoediae;membranaceo;1400.0;1500.0;0;101.0;270.0;170.0;rilegato;assi ricoperte di pelle;0;/;blue;#2B9332;Non digitalizzato;4.886661258688375;0.5
153;154;m0144_0;0.0;0.0;0;[III 2 3];144;_0;CXLIV;132;0;0;0;224;0;P. Terentii Comoediae;membranaceo;1400.0;1500.0;0;103.0;255.0;170.0;rilegato;cartoncino mezza pelle;0;/;blue;#2B9332;Non digitalizzato;4.906123183872837;0.5
154;155;m0145_0;0.0;0.0;0;[III 2 4];145;_0;CXLV;133;0;0;0;224;0;P. Virgilius Maro: Bucolicor. et Georgicor. libri;membranaceo;1400.0;1500.0;0;42.0;256.0;168.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;4.019755705231028;0.5
155;156;m0146_0;0.0;0.0;0;[III 2 5];146;_0;CXLVI;134;0;0;0;224-225;0;D. Iu. Iuvenalis Satyrae, Oratii Flaci liber De arte poetica;membranaceo e cartaceo;1400.0;1500.0;0;86.0;225.0;170.0;rilegato;mezza pelle;0;/;gray;#2B9332;Non digitalizzato;4.72720343593317;0.5
156;157;m0147_0;0.0;0.0;0;[III 2 6];147;_0;CXLVII;135;0;0;0;225;0;Dec. Iu. Iuvenalis Satyrae;membranaceo;1400.0;1500.0;0;67.0;230.0;160.0;rilegato;mezza pelle;0;/;blue;#2B9332;Non digitalizzato;4.480055652963714;0.5
157;158;m0148_0;0.0;0.0;0;[III 2 7];148;_0;CXLVIII;136;0;0;0;225;0;D. Iun. Iuvenalis Satirae;membranaceo;1400.0;1500.0;0;94.0;234.0;170.0;rilegato;mezza pelle;0;/;blue;#2B9332;Non digitalizzato;4.815397345369075;0.5
158;159;m0149_0;0.0;0.0;0;n.d.;149;_0;CXLIX;137;0;0;0;226;Non presente in Biblioteca dal 1797;Decii Iun. Iuvenalis Aquinitatis lib. quinque et Oratii Flacci librum De arte poetica;cartaceo;0.0;0.0;0;0.0;0.0;0.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;4.0;0.5
159;160;m0150_0;0.0;0.0;0;[III 2 8];150;_0;CL;138;0;0;0;226;0;Q. Curtius: De rebus gestis Alexandri M. regis maced.;cartaceo;1400.0;1500.0;0;144.0;245.0;165.0;rilegato;assi ricoperte in pelle con impressioni;0;/;orange;#2B9332;Non digitalizzato;5.2390980068880655;0.5
160;161;m0151_0;0.0;0.0;0;[III 2 9];151;_0;CLI;139;0;0;0;226;0;Aesopus: Fabulae e graeco in latinum;cartaceo;1500.0;1600.0;0;29.0;205.0;155.0;rilegato;0;0;/;orange;#2B9332;Non digitalizzato;3.657399536878786;0.5
161;162;m0152_0;0.0;0.0;0;[III 2 10];152;_0;CLII;140;0;0;0;226;0;P. Ovidius Naso: Fastorum libr. sex;membranaceo;1400.0;1500.0;0;88.0;204.0;145.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.749991770526831;0.5
162;163;m0153_0;0.0;0.0;0;[III 2 11];153;_0;CLIII;141;0;0;0;227;0;Orationes et epistolae diversor. auctorum;cartaceo;1500.0;1600.0;0;49.0;225.0;160.0;rilegato;cartoncino;0;/;orange;#2B9332;Non digitalizzato;4.171337753047183;0.5
163;164;m0154_0;0.0;0.0;0;[III 2 12];154;_0;CLIV;142;0;0;0;227-228;0;M. Tu. Cicero: De senectute et amicitia, Leon. Aretini Epistola;membranaceo;1400.0;1500.0;0;60.0;236.0;160.0;rilegato;assi coperte in pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;4.3710288804643405;0.5
164;165;m0155_0;0.0;0.0;0;[III 2 13];155;_0;CLV;143;0;0;0;228;0;M. Tu. Cicero: De clar. oratoribus ac Brutum;membranaceo;1400.0;1500.0;0;60.0;215.0;133.0;rilegato;pergamena;0;/;blue;#2B9332;Non digitalizzato;4.3710288804643405;0.5
165;166;m0156_0;0.0;0.0;0;[III 2 14];156;_0;CLVI;145;0;0;0;229;0;M. Tul. Cicero: De officiis;cartaceo;1425.0;1500.0;0;93.0;200.0;145.0;rilegato;assi coperte di pelle;0;/;orange;#2B9332;Non digitalizzato;4.804789192255344;0.5
166;167;m0157_0;0.0;0.0;0;[III 2 15];157;_0;CLVII;144;0;0;0;229;0;M.T. Cicero: De amicitia, De senectute et Paradoxa;membranaceo;1400.0;1600.0;0;109.0;195.0;130.0;rilegato;mezza pelle;0;/;blue;#2B9332;Non digitalizzato;4.962334593453339;0.5
167;168;m0158_0;0.0;0.0;0;[III 2 16];158;_0;CLVIII;146;0;0;0;229;0;M.Tu. Cicero: Rhetoricorum lib. ad Herennium;cartaceo;1400.0;1500.0;0;136.0;198.0;150.0;rilegato;assi;0;/;orange;#2B9332;Non digitalizzato;5.182251605531147;0.5
168;169;m0159_0;0.0;0.0;0;[III 2 17];159;_0;CLIX;148;0;0;0;230;0;M. Tu. Cicero: Epistulae familiares;membranaceo;1400.0;1500.0;0;38.0;160.0;110.0;rilegato;assi coperte di pelle;0;/;blue;#2B9332;Non digitalizzato;3.921560709908635;0.5
169;170;m0160_0;0.0;0.0;0;[III 2 18];160;_0;CLX;149;0;0;0;230;0;M. Tu. Cicero: De senectute, De amicitia et Paradoxa;membranaceo;1400.0;1500.0;0;90.0;165.0;115.0;rilegato;assi ricop. di pelle;0;/;blue;#2B9332;Non digitalizzato;4.772272346418676;0.5
170;171;m0161_0;0.0;0.0;0;[III 2 19];161;_0;CLXI;149;0;0;0;230;0;M.Tu. Cicero: De amicitia ad Atticum;membranaceo;1400.0;1500.0;0;50.0;118.0;188.0;rilegato;0;0;/;blue;#2B9332;Non digitalizzato;4.191231780675305;0.5
171;172;m0162_A;0.0;0.0;0;[III 2 20];162;_A;CLXII A;147;0;0;0;231;0;Au. Persii Flacci et Iuvenalis Satyrae;membranaceo;1400.0;1500.0;0;78.0;275.0;155.0;rilegato;assi coperte di pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;4.6304723688503096;0.5
172;173;m0162_B;0.0;0.0;0;[III 2 21];162;_B;CLXII B;147;0;0;0;231;0;A. Persii et D.I. Iuvenalis Satyrae cum glossis;membranaceo;1450.0;1500.0;0;128.0;198.0;145.0;rilegato;mezza pelle;0;/;blue;#2B9332;Non digitalizzato;5.121977881431629;0.5
173;174;m0163_0;0.0;1.0;0;[III 2 22];163;_0;CLXIII;150;0;0;0;231-232;0;Claudiani Epigrammata, M. Catonis Dicta ad filium;membranaceo;1000.0;1100.0;0;35.0;200.0;135.0;rilegato;cartoncino;0;/;blue;#2B9332;Non digitalizzato;3.8410191847661443;0.5
174;175;m0164_0;0.0;0.0;0;[III 2 23];164;_0;CLXIV;151;0;0;0;232;0;P. Virgilii Maronis Aeneidos l. XII cum notis;membranaceo;1400.0;1500.0;0;167.0;180.0;115.0;rilegato;assi ricoperte di pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;5.386547618463283;0.5
175;176;m0165_0;0.0;0.0;0;[III 2 24];165;_0;CLXV;152;0;0;0;232;0;P. Virgilii Maronis Bucolicorum et Georgicorum libri;membranaceo;1400.0;1500.0;0;51.0;250.0;165.0;rilegato;assi coperte di pelle con impressioni;0;/;blue;#2B9332;Non digitalizzato;4.21073774358943;0.5
